0,1,2,3
"Temp.
[°C]","Ti48A12Cr (IIVI)
Near Gamma","Ti48Al2Cr2Nb (PM)
Primary Annealed Near Gamma",
40,6.93,6.51,6.21
100,7.36,6.71,6.50
200,7.72,7.06,6.85
300,7.99,7.46,7.24
400,8.20,7.68,7.49
500,8.52,7.93,7.70
600,8.70,8.16,7.90
700,8.77,8.22,8.02
800,8.81,8.29,8.02
900,8.73,8.26,8.15
1000,7.79,7.33,7.30
1100,7.16,6.88,6.87
1200,6.72,6.44,6.40
"9
001*]ces/2mc[a
8
7
ytivisuffiD
6
lamrehT
Ti48A12Cr (IIVI) Near Gamma
5
Ti48Al2Cr2Nb (PM) Primary Annealed
Ti48Al2Cr2Nb (PM) Near Gamma
4
0 200 400 600 800 1000 1200 1400
Temperature [°C]",,,
