0,1,2,3
Group,Compound,Advantages,Disadvantages †
Aluminide,"Nb Al
3",Melting point,"Brittle
Oxidation"
,"NbAl
3","Melting point
Density","Brittle
Oxidation"
,"TiAl
3",Density,Brittle
,"Ti AlNb *
2","Oxidation (1)
Creep (1)
Ductility (2)",[Not stated]
,"MoAl
3",Melting point,"Brittle
Oxidation"
Silicide,"Ti Si
5 3",Density,Brittle
,"Nb Si
5 3",Melting point,"Brittle
Oxidation"
Berylide,"Nb Be
2 17",Melting point,"Brittle
Oxidation"
,"ZrBe
13",Melting point,"Brittle
Oxidation"
"Key: † Oxidation indicates modest resistance to oxygen.
* Orthorhombic phase
(1) compared with conventional near‐ titanium alloys.
(2) compared with ‐TiAl.",,,
