0,1,2
Status,Nominal composition,Company/Organisation
"Experime
ntal",Ti3Al-5Nb-1W(at%),-
[1],Ti3Al-15Nb(at%),-
,TiAl-2W(at%),-
,Ti3Al-1V(at%),-
,Ti-(17 to 37)Al-1Ru(at%),"Imperial College, UK."
,"Ti-(20.5 to 23.7)Al-(5 to 15)Nb-
3Zr + (0.3 to 0.9)Er2O3",Marko Materials Inc.
,Ti-24Al-4Nb-4Mo-4V-0.45O,"Wright-Patterson 
AFB/Calspan"
,"Ti-24Al-4Nb-4Mo-4V-0.2Er-
0.2Ce-0.20S-0.2Y-0.45O","Wright-Patterson 
AFB/Calspan"
,"Ti-24Al-4Nb-4Mo-4V-0.3Er-
0.3Ce-0.30S-0.2Y-0.45O","Wright-Patterson 
AFB/Calspan"
,Ti-47Al-2Cr-0.2Si,"FESTIP (protective 
coatings)"
,Ti-47Al-2Cr-2Nb,"FESTIP (protective 
coatings)"
"Two-phase 
-TiAl","Ti - 45 to 48 Al - 0 to 3 (Cr, Mn, 
V) - 0 to 5 (Nb, W, Ta) - 0 to 1 
(Si, B)","Typical Composition 
Range (at%)"
[2],Ti-48Al-2Cr,Plansee GmbH
,GE Alloy: Ti-48Al-2Cr-2Nb,"Developed by General 
Electric, USA. [3] 
Plansee GmbH"
"Key:        [1] 
Under investigation in the 1980’s. FESTIP evaluation continued in the mid‐late 1990s. 
 [2] 
Technically advanced and commercially available.  
 [3] 
A second‐generation alloy for GE90 aircraft engine parts for Boeing 777.",,
