0,1,2,3,4,5
"Temp
(°C)","YS
(MPa)","UTS
(MPa)","Elong
(%)","R of A
(%)",Condition
IC50 [ORNL],,,,,
"25
400
600
800
1000","337
393
447
-
-","587
487
452
455
181","13.1
4.3
6.2
2.7
4.0","16.8
9.5
12.2
0.8
0.0","Direct cast bar.
As-cast condition."
"25
400
600
800
1000","468
527
610
494
136","1307
1049
688
549
159","41.8
26.8
5.6
2.7
63.5","48.4
20.4
7.8
4.4
46.6","Direct cast bar annealed
after casting
60% swaging + anneal +
60% -swaging + annealed
at 1100°C."
"25
400
600
800
1000","1260-1430
1150
920-940
555
165","1514-1592
1253
923-998
603
188","3.0-10.0
2.4
1.4
1.4
7.0","4.4-18.7
5.6
0.5-2.7
0.5
14.3","Direct cast bar. 60%
swaged + 1100°C anneal +
60% swaged +
1100°C anneal + 20% cold
reduction."
"RT
200
400
600
800
1000","432
452
467
606
583
223","1205
1081
858
735
612
265","32.13
21.52
12.38
3.64
3.25
11.62","23.25
16.90
10.71
6.18
3.81
8.73",Annealed 1100°C/1 hour.
"RT
200
400
600
800
1000","1355
-
118
786
696
234","1498
-
1276
803
729
325","5.75
-
2.46
5.17
2.41
6.50","7.35
-
5.03
1.37
1.13
7.78",10% Cold work.
"RT
200
400
600
800
1000","1454
1306
-
-
629
168","1560
1373
876
631
700
169","3.33
3.31
1.07
1.70
1.65
0.72","7.31
2.83
1.33
0.85
3.60
1.25",20% Cold work.
"RT
200
400
600
800
1000","1685
1597
-
1143
689
141","1179
1678
1441
1310
775
190","0.25
1.69
4.05
5.77
8.78
33.58","2.81
4.13
0.39
4.50
6.83
38.73",40% Cold work.
IC218/221,,,,,
"RT
427
649
760
871
982","586
724
793
758
586
310","1310
1241
965
931
690
379","20
17
15
15
15
10","18
15
15
17
17
17",Not stated.
