0,1,2,3,4
"Alloy group or 
specification","Nominal 
composition 
(%)","Available product 
forms (Country)",General description,"Typical aerospace 
applications"
"Timetal 1100 
[Ti-1100]","Ti-6Al-2.7Sn-
4Zr-0.4Mo-
0.45Si","Billet, bar, sheet, 
welding wire, 
forgings, castings 
(USA & Europe)","High combined strength, 
creep, fatigue & fracture 
toughness.","Maximum use 
temperature up to 
~600°C. 
Weldable."
 ‐  alloys,,,,
"Timetal 6-4 
[IMI 318]","Ti-6Al-4V 
Also: ELI 
grade 0.1O2","All product forms 
(Universal alloy)","Useful creep resistance 
up to 300°C & excellent 
fatigue strength. Fair 
weldability.","Aircraft gas turbine 
disks & blades. 
Airframe structural 
components & 
fastener stocks (heat-
treated to give 
1100MPa tensile 
strength)."
Corona -5,"Ti-4.5Al-5Mo-
1.5Cr","Researched for 
plate, forgings & 
SPF sheet (USA)","Improved fracture 
toughness over 
Ti-6Al-4V & easier to 
work","Not taken up 
replacement for Ti-
6Al-4V"
"Timetal 550 & 551 
[IMI 550 & 551]","Ti-4Al-4Mo-
2Sn-0.5Si","Rod, bar, billet, 
extrusions, forgings 
(UK)","High strength alloy with 
Timetal 551 the highest 
(4Sn). 550 weldable; 551 
not weldable.","For high strength 
applications 
requiring useful 
creep resistance to 
400°C."
 ‐ alloys,,,,
Beta III,"Ti-11.5Mo-
6Zr-4.5Sn","No longer produced 
(USA)","Excellent forgeability & 
cold workable. Very good 
weldability.","Aircraft fasteners, 
sheet metal parts."
"Timetal 15-3 
[Ti-15-3]","Ti-15V-3Al-
3Cr-3Sn","Sheet, strip, plate 
(USA)","Cold formable  alloy. 
Heat treatable to 
1310MPa tensile 
strength. Weldable.","High strength 
aircraft & aerospace 
components to 300°C. 
Matrix alloy for 
composites."
"Timetal 17 
[Ti-17]","Ti-5Al-2Sn-
2Zr-4Mo-4Cr",Forgings (USA),"Unlike other  alloys, 
offers good creep strength 
up to 430°C.","Forgings for turbine 
engine components 
where hardenability, 
strength, toughness 
& fatigue are 
important."
"Timetal 21S 
[Beta 21S]","Ti-15Mo-3Nb-
3Al","Sheet, strip, plate, 
foil (USA)","High strength, cold 
formable.","Honeycomb in engine 
structures (228 to 
593°C), hydraulic 
tubes. Matrix alloy 
for composites."
