0,1,2,3,4,5,6,7,8,9,10,11,12,13
Alloy,Form,"Temp. 
(°C)","TS 
(MPa)","YS 
(MPa)","El 
(%)","R of A 
(%)","E 
(GPa)","Notch 
TS 
(MPa)",Stress Rupture,,"DEWSIM 
(gcm-3)","Melting 
Range 
(°C)",Comments
,,,,,,,,,100h,1000h,,,
Inconel 600,sheet,-253,1210,910,22,-,-,-,-,-,8.42,1354-1415,"Hard, cold rolled, 
long dir."
,,24,910,885,4,-,-,-,-,-,,,
,bar,-257,1280,1210,20,56,220,1530(a),,,,,"Cold drawn, long 
dir. 
(a) Kt = Not stated"
,,-253,1250,1100,30,58,-,-,,,,,
,,-196,1160,1030,26,62,-,-,,,,,
,,-78,985,910,20,56,-,-,,,,,
,,24,940,890,15,56,170,1230(a),,,,,
,bar,21,620,250,47,-,-,-,,,,,Not stated
,,540,580,195,47,-,-,-,,,,,
,,650,450,180,39,-,-,-,,,,,
,,760,185,115,46,-,-,-,,,,,
,,815,-,-,-,-,-,-,55,39,,,
,,870,105,62,80,-,-,-,37,24,,,
Inconel 625,bar,21,855,490,50,-,-,-,-,-,8.44,1290-1350,"(b) Solution Treated 
(ST):1150°C"
,,540,745,405,50,-,-,-,-,-,,,
,,650,710,420,35,-,-,-,440(b),370(b),,,
,,760,505,420,42,-,-,-,-,-,,,
,,815,-,-,-,-,-,-,130(b),93(b),,,
,,870,285,475,125,-,-,-,72(b),48(b),,,
