0,1,2,3,4,5
Unidirectional Tensile Data,,,,,
Composite,"E 
(GPa)","PL 
(MPa)",UTS (MPa),,"f 
(%)"
0,165,299,787,0.170,0.618
,170,266,856,0.195,0.657
,173,304,711,0.183,0.531
Mean value,169,290,785,0.183,0.602
10,120,139,170,0.184,0.123
,146,128,175,0.198,0.121
,144,153,168,0.179,0.111
Mean value,140,140,171,0.187,0.118
30,72,29,50,0.169,0.078
,70,41,50,0.197,0.073
,68,39,41,0.187,0.060
Mean value,70,37,47,0.184,0.070
60,35,11,18,0.112,0.054
,38,16,18,0.134,0.075
,33,19,24,0.086,0.077
Mean value,35,15,23,0.111,0.069
Angle‐Ply Test Data,,,,,
Composite,"E 
(GPa)","PL 
(MPa)",UTS (MPa),,"f 
(%)"
[10]s,158,170,429,0.286,0.420
,161,160,469,0.269,0.418
,163,224,424,0.295,0.319
Mean value,161,185,441,0.283,0.410
[30]s,81,12,179,0.887,0.399
,70,19,193,0.834,0.524
,77,14,189,0.972,0.594
Mean value,76,15,187,0.898,0.506
[45]s,42,5.6,44,0.696,0.384
,35,5.6,40,0.687,0.249
,36,6.6,48,0.633,0.512
Mean value,38,5.9,44,0.672,0.382
[60]s,24,3.0,25,0.287,0.655
,24,2.8,25,0.313,0.408
,20,4.5,22,0.248,0.459
Mean value,23,3.4,24,0.283,0.507
[0/90],81,39,252,0.022,0.403
,80,52,317,0.005,0.500
,86,39,331,0.025,0.527
Mean value,82,43,300,0.017,0.477
"Key 
PL indicates proportional limit, as the initial deviation from linearity of / curve. 
Fibre Volume Fraction: 40 to 43.6%, except for 60°UD where Vf = 30%.",,,,,
