0,1,2,3,4
"Alloy and 
Temper (2)",Direction (1),K   MPa√m,"d(2a)/dN, (mm/kcycle)",
,,,average,range
,,18.6,0.37,0.28 - 0.40
,LT,31.0,2.00,1.26 - 3.17
1441-T1,,18.6,0.29,0.14 - 0.51
,TL,31.0,1.50,0.69 - 2.57
,,18.6,0.79,0.42 - 1.21
1441-T11,LT,31.0,7.30,3.75 - 13.0
,,18.6,0.70,0.68 - 0.73
,TL,31.0,3.40,2.56 - 4.14
,,18.6,0.78,0.62 - 0.98
1163-T3,LT,31.0,3.85,3.30 - 4.40
,,18.6,0.92,0.74 - 1.14
,TL,31.0,4.70,3.44 - 5.53
"Tested at a maximum fatigue stress of 100MPa and a frequency of 5Hz. The ratio of 
minimum fatigue stress to maximum fatigue stress (R) was 0. 
Test conditions: 
Tested on sheet 1.2mm to 2.0mm thick using centre‐crack tension specimens from 
 
300mm to 400mm wide. 
 
(1) direction is defined in ASTM E 1823‐05 Annex 2;  
Key: 
(2) 1163 is a Russian analog of  AA2524",,,,
