0,1,2,3,4,5,6,7,8,9,10,11,12,13
Alloy,Form,"Temp. 
(°C)","TS 
(MPa)","YS 
(MPa)","El 
(%)","R of A 
(%)","E 
(GPa)","Notch 
TS 
(MPa)",Stress Rupture,,"DEWSIM 
(g/cm3)","Melting 
Range 
(°C)",Comments
,,,,,,,,,100h,1000h,,,
"Inconel  X-
750",bar,-257,1720,1080,33,46,-,-,-,-,8.25,393-1425,"Longitudinal dir. 
Annealed Aged: 
700°C/20hr/AC"
,,-253,1700,1090,33,42,-,-,-,-,,,
,,-196,1570,1050,32,45,-,-,-,-,,,
,,24,1340,985,25,49,-,-,-,-,,,
,bar,21,1120,635,24,-,-,-,-,-,,,
,,540,965,580,22,-,-,-,-,827(e),,,"(e) 1150°C + 
840°C/24hr/? + 
705°C/20hr/?"
,,650,825,565,9,-,-,-,-,-,,,
,,760,485,455,9,-,-,-,-,-,,,
,,870,235,165,47,-,-,-,83(e),45(e),,,
,,925,-,-,-,-,-,-,58(e),21(e),,,
Rene 41,bar,21,1420,1060,14,-,-,-,-,-,8.25,1232-1371,Not stated
,,540,1400,1010,14,-,-,-,-,-,,,
,,650,1340,1000,14,-,-,-,-,-,,,
,,760,1100,940,11,-,-,-,-,-,,,
,,870,620,550,19,-,-,-,-,-,,,
