0,1,2,3,4,5,6,7,8
Machine,Test Temperature,,Avg. 0.2% Yield Strength,,Avg. Ultimate Tensile Strength,,Avg. Elongation,Tested Samples
"Multi-Laser 
AM Printer 1",°F,°C,ksi,Mpa,ksi,Mpa,%,#
,75,24,85.3,587.8,129.0,889.4,37.5,10
,400,204,70.7,487.3,109.2,753.2,37.3,10
,800,427,65.7,452.6,99.9,688.6,36.8,10
,1200,649,58.8,405.2,92.8,640.0,34.2,10
,1600,871,32.5,223.9,40.9,282.2,38.1,10
,1800,982,21.2,146.2,24.1,165.9,23.0,10
,1900,1038,16.8,115.5,18.6,128.0,17.0,10
,2000,1093,13.3,91.8,14.3,98.7,14.3,16
,2100,1149,11.6,80.0,11.7,80.8,,6
,2200,1204,8.6,59.3,8.9,61.2,,6
,2300,1260,6.3,43.6,6.6,45.6,,6
