0,1,2,3,4,5,6,7,8,9,10,11,12,13
Alloy,Form,"Temp. 
(°C)","TS 
(MPa)","YS 
(MPa)","El 
(%)","R of A 
(%)","E 
(GPa)","Notch 
TS 
(MPa)",Stress Rupture,,"DEWSIM 
(g/cm3)","Melting 
Range 
(°C)",Comments
,,,,,,,,,100h,1000h,,,
Inconel 718,sheet,-253,1740,1340,16,-,-,1550(c),-,-,-,,"Longitudinal dir. 
Aged:955°C/1hr/AC 
+720°C/8hr/FC to 
620°C/10hr/AC 
(c) Kt = 10 
transverse dir: 
Condition - as 
above: 
(c) Kt = 10"
,,-196,1730,1310,21,-,-,1560,-,,,,
,,-78,1490,1190,17,-,-,1470,-,,,,
,,24,1330,1090,18,-,-,1330,-,,,,
,sheet,-253,1770,1370,16,-,-,1500(c),-,,,,
,,-196,1700,1300,21,-,-,1500,-,,,,
,,-78,1480,1210,12,-,-,1450,-,,,,
,,24,1320,1100,18,-,-,1300,-,,,,
,sheet,21,1280,1050,22,-,-,-,-,,,,
,,540,1140,945,26,-,-,-,-,,,,
,,650,1030,870,15,-,-,-,-,,,,
,,760,675,625,8,-,-,-,-,,,,
,bar,-269,1810,1410,21,20,-,-,-,-,,,"Longitudinal dir: 
Aged:980°C/45 
min/AC 
+720°C/8hr/FC to 
620°C/10hr/AC"
,,-196,1650,1340,21,20,-,-,-,-,,,
,,24,1410,1170,15,18,-,-,-,-,,,
Inconel 718,bar,21,1430,1190,21,-,-,-,-,-,,,(d) 730°C/2hr.
,,540,1280,1060,18,-,-,-,-,951(d),,,
,,595,-,-,-,-,-,-,860(d),760(d),,,
,,650,1230,1020,19,-,-,-,690(d),585(d),,,
,,760,950,740,25,-,-,-,,,,,
,,870,340,330,88,-,-,-,,,,,
