0,1,2,3,4,5,6,7,8,9
Properties,Alloy,,,,,,,,
,2090,2098,2099,2195,2196,2297,8090,"AMC50
0",7075
"Ultimate tensile 
strength 
(MPa) (1)","441-
531","503-
510","510-
600","510-
615","520-
540","414-
441","370-
480",400-500,"400-
586"
"Yield stress 
(MPa) (1)","386-
483","470-
476","430-
550","470-
580","470-
490","379-
400","265-
435",300-420,"303-
462"
"Tensile modulus 
(GPa)",79.4,76,78,76,77.6,75.2,77,77,71.7
"Density 
(kg/m3)",2590,2700,2620,2710,2630,2650,2540,2580,2810
"Coefficient of 
thermal expansion 
(10–6/K)",23.6,-,-,-,-,-,21.4,-,23.6
"Heat capacity 
(J/kg/K)",1203,-,-,-,-,-,930,-,960
"Thermal 
conductivity 
(W/cmC)",88,-,-,-,-,-,95.3,-,130
"Electrical 
conductivity 
(% IACS)","17-
19",-,-,-,-,-,-,19,33
"Key: 
(1) Data from Table 46.6.1 or Ref [46‐3], and cover a range of forms and tempers",,,,,,,,,
