0,1,2,3,4,5,6,7,8,9,10,11,12
"USA 
AA",SAE,ISO,"UK 
BS/DTD",France,Germany,,,Italy,"Sweden 
SIS",Switzerland,CIS,"Europe 
CEN (2)"
,,,,,Werkstoff,DIN,VDS,UNI,,,,
150.1,-,Al99.5,LM0,A5,-,-,,-,14 4022,G-Al99.5,-,-
170.1,-,Al99.7,-,A7,-,-,,-,-,-,-,-
222.1 (1),34,Al Cu10 Si12 Mg,LM12,-,-,-,,3041,-,-,AL18V,-
242.2,39,Al Cu4 Ni2 Mg2,4L35,A-U4 N T,-,-,,3045,-,-,-,-
"295.1, .2",38,Al Cu4,"2L91, 2L92",A-U5 G T,3.1841,G-Al Cu4 Ti,,7256,-,G-Al Cu4 Ti,-,-
319.2,326,Al Si5 Cu3,LM4,A-S5 U,3.2151,G-Al Si6 Cu4,225,-,-,-,AL6,AC-45200 / AC-45000
333.0,-,Al Si8Cu3Fe,LM24,A-S10 U4,3.2161,AlSi8Cu3,226,-,-,-,-,-
336.1,321,Al Si11 Mg Cu,LM13,A-S11 UNG,-,-,,3050 / 6250-28,-,-,AL30,-
355.1,322,Al Si5 Cu1 Mg,LM16,-,-,-,,3600,14 4231,-,AL5,AC-45300 / AC-AlSi5Cu1Mg
356.1,323,Al Si7 Mg,LM25,A-S7 G,3.2371,G-Al Si7 Mg,,3599,14 4244,G-AlSi7 Mg,AL9,AC-42000 / AC-AlSi7Mg
A356.2,336,Al Si7 Mg,2L99,A-S7 G0.3,3.2371,G-Al Si7 Mg,,7257,-,-,-,
A360.2,309,Al Si12 Mg,LM9,A-S10 G,3.2381,G-Al Si10 Mg,233,3049,14 4253,G-AlSi10 Mg,AL4,AC-43200 / AC-AlSi10Mg(Cu)
A380.1,306,Al Si8 Cu3 Fe,LM24,A-S9 U3 Y4,3.2161,G-Al Si8 Cu3,,5075,14,,,-
384.1,303,Al Si10 Cu2 Fe,LM2,A-S9 U3 Y4,-,-,,5076,-,-,-,-
390.0,-,Al Si17 Cu4 Mg,LM30,-,-,-,,-,-,-,-,-
A413.1,305,Al Si12 Cu Fe,LM20 / LM2,"A-S12, A-S12U",3.2582,G-Al Si12 (Cu),231,5079,14 4260,-,AL2,AC-47000 / AC-AlSi12(Cu)
A413.2,-,Al Si12,LM6,A-S13,3.2581,G-Al Si12,230,4514,14 4261,-,-,-
A443.1,35,Al Si5,LM18,-,-,-,,5077,-,-,-,-
514.1,320,Al Mg5,LM5,A-G6,3.3561,G-Al Mg5,244,3058,-,-,AL28,AC-51300 / AC-AlMg5
520.0,324,Al Mg10,LM10,"A-G10, A-G10Y4",3.3591,G-Al Mg10,,3056,-,-,"AL8, 
AL27",-
712,310,AlZn5Mg / Al Zn5 Mg Cr,"LM31, 
DTD5008B",A-Z5G,-,-,-,3650 / 3602,14 4438,-,-,AC-71000 / AC-AlZn5Mg
-,-,Al Si6 Cu4 Zn,LM21,A-S5 U Z,3.2151,G-Al Si6 Cu4,225,-,14 4230,-,AL16V,AC-45000 / AC-AlSi6Cu4-
-,-,Al Si6 Cu3 Mn,LM22,A-S5 U,-,-,225,3052,-,-,AL6,AC-45400 / AC-AlSi5Cu3
-,-,Al Si9 Cu3 Mg,LM26,-,-,-,,3050,-,-,-,-
-,-,Al Si7 Mg,LM27,-,-,-,,-,14 4230,-,-,AC-46600 / AC-AlSi7Cu2
-,-,Al Si19 Cu Mg Ni,LM28,-,-,-,,6251,-,-,-,-
-,-,Al Si23 Cu Mg Ni,LM29,-,-,-,,-,-,-,AL26,-
-,-,Al Si2 Cu Ni Fe Mg,3L51,A-S2 U,-,-,,-,-,-,-,-
-,-,Al Cu2 Ni Si Fe Mg,3L52,-,-,-,,3046,-,-,-,-
-,-,Al Si5 Mg,"DTD:716B, 
722B 
727B, 735B",A-S4 G,3.2341,G-Al Si5 Mg,235,3054,-,-,-,"- 
-"
-,-,Al Mg8 Zn,DTD5018A,-,-,-,349,-,-,-,-,AC-51200 / AC-AlMg9
"Key: 
(1) inactive.  
(2) EN1706: AC  prefix – aluminium cast alloys.",,,,,,,,,,,,
