0,1,2,3,4,5,6,7,8,9
"Matrix 
alloy","SiCp 
(vol. 
%)","SiCp 
d50 
Value 
(m)",Temper,"Extrusion 
ratio","Directio
n","YS 
(MPa)","UTS 
(MP
a)","Elong-
ation  
(%)","E 
(GPa
)"
2009,0,0,T4,20:1 (1),L,255,358,10.0,71
2009,5,6.43,T4,496: 1 (2),L,400,531,10.0,79
2009,15,6.43,T4,14:1 (3),LT,348,483,5.2,94
2009,15,6.43,T6,14:1 (3),L,383,530,8.5,100
2009,15,6.43,T4,496:1 (2),L,424,594,9.8,105
2009,20,6.43,T4,20:1 (1),L,424,608,3.7,-
2009,25,6.43,T4,14:1 (3),LT,372,496,1.7,112
2009,25,1.92,T4,14:1 (3),LT,421,545,1.8,114
2009,25,1.92,T4,"14:1 + 
forge (4)",LT,427,586,1.8,117
2009,25,1.92,T4,"14:1 + 
forge (4)",L,448,662,2.4,121
2009,25,6.43,T4,496:1 (2),L,462,669,5.1,119
2009,25,1.92,T4,496:1 (2),L,483,669,3.2,123
"Key: 
Supplier’s data. SiCp d50 value measured by DWAAC using Coulter laser diffraction;  
Extruded materials sizes: (1) 12mm thick rectangular bar; (2)16mm diameter round bar; (3) 95mm 
diameter round bar; (4) 95mm diameter round bar forged to 25mm thick rectangular bar",,,,,,,,,
