0,1,2,3,4,5
"Temp. 
[°C]",,"Ti48Al2Cr (IM) 
Near Gamma","Ti48Al2Cr2Nb (PM) 
Primary Annealed 
Near Gamma",,
100,,17.9,16.6,16.1,
200,,19.6,18.0,17.5,
300,,20.8,19.5,18.9,
400,,21.7,20.5,19.9,
500,,23.0,21.5,20.8,
600,,23.9,22.4,21.6,
700,,25.4,24.1,23.6,
800,,26.2,25.0,24.2,
900,,27.3,26.1,25.6,
1000,,25.8,24.7,24.4,
1100,,25.2,24.8,24.4,
1200,,27.1,26.9,25.6,
"30
28
26
24
22
20
18
16
14","Ti48Al2Cr (IM) Near Gamma
Ti48Al2Cr2Nb (PM) Primary Annealed
Ti48Al2Cr2Nb (PM) Near Gamma
0
200
400
600
800
1000
1200",,,,1400
