0,1,2
"Alloy designation [Manufacturer] 
Application 
Notes",,
Nickel based:,,
Nimonic 901 [INCO],disc,Denoted as Ni-Fe
Inconel 718 [INCO],disc,Denoted as Ni-Fe
Rene 41 [TELEDYNE],disc,-
Waspalloy [UN.TECH],disc + blade,-
Astroloy [-],disc,Powder Met. Variant
Rene 95 [TELEDYNE],disc,Powder Met. Variant
IN 100 [-],disc + blade,"Powder Met. Variant 
also MERL 76 for HIP"
Udimet 700 [SPEC. MTLS],disc + blade,
"Udimet 710, 720 [-]",disc,
PA101 [-],disc,Powder Met. Alloy
AF115 [-],disc,Powder Met. Alloy
AF2-1DA [-],disc,Powder Met. Alloy
MAR-M200 [MARTIN MAR],,
MAR-M002,,
MAR-M247,,
Nimonic 80A [INCO],,
Nimonic 90,,
Nimonic 105,,
Nimonic 115,,
Iron based:,,
Discaloy [WEST. ELEC],disc,
Tinadur,disc,
M308,disc,
A286,disc,
V57,disc,"Principle Fe-based 
alloys used in USA"
FV537,disc,
Cobalt based:,,
FSX-414,"Nozzle 
diaphragm 
casting",Weldability
MAR-M 322,,
MAR-M 302,,
IN 102,,
"Key:  
INCO: The International Nickel Co. Inc.;  
UN TECH: United Technologies Corp.;  
TELEDYNE: Teledyne Allvac;  
SPEC. MTLS: Special Metals Corp.;  
MARTIN MAR: Martin Marietta Corp.;  
WEST ELEC: Westinghouse Electrical Corp.",,
