0,1,2,3,4,5,6
"Temp 
(C)","YS 
(MPa)","TS 
(MPa)","D 
(%)",Creep Strength (MPa),,
,,,,0.2%/3min,0.5%/3min,1.0%/3min
-200,"240 
[345]","324 
[483]","0.5 
[0.5]","- 
[-]","- 
[-]","- 
[-]"
-150,"240 
[345]","324 
[483]","1.2 
[1.2]","- 
[-]","- 
[-]","- 
[-]"
-100,"240 
[345]","324 
[483]","2 
[2]","- 
[-]","- 
[-]","- 
[-]"
-50,"240 
[345]","324 
[483]","2 
[5]","- 
[-]","- 
[-]","- 
[-]"
0,"240 
[345]","324 
[483]","2 
[5]","- 
[-]","- 
[-]","- 
[-]"
RT,"240 
[345]","324 
[483]","2 
[10]","- 
[-]","- 
[-]","- 
[-]"
100,"237 
[-]","308 
[-]","- 
[-]","- 
[-]","- 
[-]","- 
[-]"
200,"230 
[310]","290 
[420]","- 
[-]","- 
[-]","- 
[-]","- 
[-]"
300,"208 
[-]","248 
[-]","- 
[-]","- 
[-]","- 
[-]","- 
[-]"
400,"178 
[240]","210 
[305]","- 
[-]","- 
[-]","- 
[-]","- 
[-]"
500,"142 
[-]","168 
[-]","- 
[-]","- 
[-]","- 
[-]","160 
[-]"
550,"124 
[-]","144 
[-]","- 
[-]","- 
[-]","- 
[-]","105 
[-]"
600,"102 
[140]","115 
[170]","- 
[-]","40 
[-]","55 
[-]","80 
[-]"
650,"80 
[-]","95 
[-]","- 
[-]","30 
[-]","38 
[-]","50 
[-]"
700,"58 
[-]","60 
[-]","- 
[-]","16 
[-]","22 
[-]","32 
[-]"
750,"30 
[-]","30 
[-]","- 
[-]","8 
[-]","10 
[-]","18 
[-]"
800,"<10 
[-]","<10 
[-]","- 
[-]","- 
[-]","- 
[-]","5 
[-]"
"Key
YS: Yield Strength;     TS: Tensile Strength;     D: Ductility 
 Data for SR‐200‐F;   [Data for SR‐200‐E]",,,,,,
